"","FECHA_ACCIDENTE","A�.O_ACCIDENTE","MES_ACCIDENTE","DIA_ACCIDENTE","HORA_ACCIDENTE","GRAVEDAD_ACCIDENTE","CLASE_ACCIDENTE","SITIO_EXACTO_ACCIDENTE","CANT_HERIDOS_EN._SITIO_ACCIDENTE","CANT_MUERTOS_EN._SITIO_ACCIDENTE","CANTIDAD_ACCIDENTES","lat","long"
"1",2019-01-01,2019,1,"Mar","01:30:00:AM","Solo daños","Choque","CALLE 82 CRA 71",NA,NA,1,NA,NA
"2",2019-01-01,2019,1,"Mar","01:50:00:PM","Con heridos","Choque","CL 30 CR 27",1,NA,1,51.356319985984,-0.0887900032516598
"3",2019-01-01,2019,1,"Mar","03:00:00:PM","Con heridos","Choque","CL 17 CR 30",1,NA,1,42.5808449747362,-6.46815235162267
"4",2019-01-01,2019,1,"Mar","05:45:00:PM","Solo daños","Choque","CRA 31 CALLE 68C",NA,NA,1,NA,NA
"5",2019-01-01,2019,1,"Mar","10:30:00:PM","Con heridos","Atropello","CL 99D CR 8E",3,NA,1,41.3692725592318,-4.10980214572297
"6",2019-01-01,2019,1,"Mar","12:30:00:PM","Solo daños","Choque","VIA 40 CR 67B",NA,NA,1,NA,NA
"7",2019-01-02,2019,1,"Mié","03:35:00:PM","Solo daños","Choque","AV CIRCUNVALAR FRENTE AL NO 70A 12",NA,NA,1,NA,NA
"8",2019-01-02,2019,1,"Mié","04:10:00:PM","Con muertos","Choque","AV CIRCUNVALAR CR 13",NA,1,1,10.9227820633437,-74.8173673525954
"9",2019-01-02,2019,1,"Mié","04:20:00:PM","Solo daños","Choque","AV CIRCUNVALAR 49 39",NA,NA,1,10.9228694827328,-74.8127040439376
"10",2019-01-02,2019,1,"Mié","05:30:00:PM","Solo daños","Choque","CR 53 68 216",NA,NA,1,51.2961729580001,-0.171634999999981
"11",2019-01-02,2019,1,"Mié","06:10:00:PM","Solo daños","Choque","CL 98 CR 52",NA,NA,1,40.5620300167063,-4.98225999296747
"12",2019-01-02,2019,1,"Mié","08:20:00:AM","Con heridos","Choque","CR 22 CL 37",1,NA,1,41.3680600195043,-4.11048003663797
"13",2019-01-02,2019,1,"Mié","08:30:00:AM","Con heridos","Choque","CR 11 CL 40",2,NA,1,41.3682699861789,-4.11012003389658
"14",2019-01-02,2019,1,"Mié","11:00:00:AM","Solo daños","Choque","CR 9 CL 5",NA,NA,1,41.3683600078189,-4.11006999393462
"15",2019-01-02,2019,1,"Mié","11:05:00:PM","Con heridos","Choque","CL 86 CR 51B",2,NA,1,40.369541859549,-5.48742630770134
"16",2019-01-02,2019,1,"Mié","11:20:00:AM","Solo daños","Choque","CR 44 CL 38",NA,NA,1,41.3661600096925,-4.11147002322201
"17",2019-01-02,2019,1,"Mié","12:30:00:PM","Con heridos","Choque","CL 110 CR 9G",1,NA,1,42.2660859673659,-5.93262770981378
"18",2019-01-02,2019,1,"Mié","12:50:00:PM","Con heridos","Choque","CL 30 CR 14",2,NA,1,19.1086440328965,-104.312988336051
"19",2019-01-03,2019,1,"Jue","01:10:00:PM","Solo daños","Choque","VIA 40 CALLE 80",NA,NA,1,NA,NA
"20",2019-01-03,2019,1,"Jue","01:45:00:PM","Con heridos","Choque","CRA 14 CALLE 63",1,NA,1,9.96310000000005,-84.0492199999999
"21",2019-01-03,2019,1,"Jue","02:50:00:PM","Solo daños","Choque","CL 45 CR 35",NA,NA,1,41.5271899902854,-4.11541999509345
"22",2019-01-03,2019,1,"Jue","03:30:00:AM","Con heridos","Choque","CL 45 CR 14",3,NA,1,41.5270056575405,-4.11545542936814
"23",2019-01-03,2019,1,"Jue","07:20:00:AM","Solo daños","Choque","CL 19 CR 5C",NA,NA,1,40.3652994640605,-4.89138941471353
"24",2019-01-03,2019,1,"Jue","08:40:00:AM","Solo daños","Choque","CALLE 39 CRA 27",NA,NA,1,20.6908100000001,-88.2003
